impute,inputmatrix,featsel,featext,response,models,penalty
no,snp,varThreshold,tsne,binary,regression,lasso
no,snp,varThreshold,tsne,binary,regression,ridge
no,snp,varThreshold,tsne,binary,RF,no
no,snp,varThreshold,tsne,binary,RF,lasso
no,snp,varThreshold,tsne,binary,RF,ridge
no,snp,varThreshold,tsne,binary,NN,no
no,snp,varThreshold,tsne,binary,NN,lasso
no,snp,varThreshold,tsne,binary,NN,ridge
no,snp,varThreshold,tsne,numerical,regression,no
no,snp,varThreshold,tsne,numerical,regression,lasso
no,snp,varThreshold,tsne,numerical,regression,ridge
no,snp,varThreshold,tsne,numerical,RF,no
no,snp,varThreshold,tsne,numerical,RF,lasso
no,snp,varThreshold,tsne,numerical,RF,ridge
no,snp,varThreshold,tsne,numerical,NN,no
no,snp,varThreshold,tsne,numerical,NN,lasso
no,snp,varThreshold,tsne,numerical,NN,ridge
