impute,inputmatrix,featsel,featext,response,models,penalty
yes,original,no,tsne,binary,regression,no
yes,original,no,tsne,binary,regression,lasso
yes,original,no,tsne,binary,regression,ridge
yes,original,no,tsne,binary,RF,no
yes,original,no,tsne,binary,RF,lasso
yes,original,no,tsne,binary,RF,ridge
yes,original,no,tsne,binary,NN,no
yes,original,no,tsne,binary,NN,lasso
yes,original,no,tsne,binary,NN,ridge
yes,original,no,tsne,numerical,regression,no
yes,original,no,tsne,numerical,regression,lasso
yes,original,no,tsne,numerical,regression,ridge
yes,original,no,tsne,numerical,RF,no
yes,original,no,tsne,numerical,RF,lasso
yes,original,no,tsne,numerical,RF,ridge
yes,original,no,tsne,numerical,NN,no
yes,original,no,tsne,numerical,NN,lasso
yes,original,no,tsne,numerical,NN,ridge
yes,original,varThreshold,no,binary,regression,no
yes,original,varThreshold,no,binary,regression,lasso
yes,original,varThreshold,no,binary,regression,ridge
yes,original,varThreshold,no,binary,RF,no
yes,original,varThreshold,no,binary,RF,lasso
yes,original,varThreshold,no,binary,RF,ridge
yes,original,varThreshold,no,binary,NN,no
yes,original,varThreshold,no,binary,NN,lasso
yes,original,varThreshold,no,binary,NN,ridge
yes,original,varThreshold,no,numerical,regression,no
yes,original,varThreshold,no,numerical,regression,lasso
yes,original,varThreshold,no,numerical,regression,ridge
yes,original,varThreshold,no,numerical,RF,no
yes,original,varThreshold,no,numerical,RF,lasso
yes,original,varThreshold,no,numerical,RF,ridge
yes,original,varThreshold,no,numerical,NN,no
yes,original,varThreshold,no,numerical,NN,lasso
yes,original,varThreshold,no,numerical,NN,ridge
yes,original,varThreshold,pca,binary,regression,no
yes,original,varThreshold,pca,binary,regression,lasso
yes,original,varThreshold,pca,binary,regression,ridge
yes,original,varThreshold,pca,binary,RF,no
yes,original,varThreshold,pca,binary,RF,lasso
yes,original,varThreshold,pca,binary,RF,ridge
yes,original,varThreshold,pca,binary,NN,no
yes,original,varThreshold,pca,binary,NN,lasso
yes,original,varThreshold,pca,binary,NN,ridge
yes,original,varThreshold,pca,numerical,regression,no
yes,original,varThreshold,pca,numerical,regression,lasso
yes,original,varThreshold,pca,numerical,regression,ridge
yes,original,varThreshold,pca,numerical,RF,no
yes,original,varThreshold,pca,numerical,RF,lasso
yes,original,varThreshold,pca,numerical,RF,ridge
yes,original,varThreshold,pca,numerical,NN,no
yes,original,varThreshold,pca,numerical,NN,lasso
yes,original,varThreshold,pca,numerical,NN,ridge
yes,original,varThreshold,tsne,binary,regression,no
yes,original,varThreshold,tsne,binary,regression,lasso
yes,original,varThreshold,tsne,binary,regression,ridge
yes,original,varThreshold,tsne,binary,RF,no
yes,original,varThreshold,tsne,binary,RF,lasso
yes,original,varThreshold,tsne,binary,RF,ridge
yes,original,varThreshold,tsne,binary,NN,no
yes,original,varThreshold,tsne,binary,NN,lasso
yes,original,varThreshold,tsne,binary,NN,ridge
yes,original,varThreshold,tsne,numerical,regression,no
yes,original,varThreshold,tsne,numerical,regression,lasso
yes,original,varThreshold,tsne,numerical,regression,ridge
yes,original,varThreshold,tsne,numerical,RF,no
yes,original,varThreshold,tsne,numerical,RF,lasso
yes,original,varThreshold,tsne,numerical,RF,ridge
yes,original,varThreshold,tsne,numerical,NN,no
yes,original,varThreshold,tsne,numerical,NN,lasso
yes,original,varThreshold,tsne,numerical,NN,ridge
yes,snp,no,no,binary,regression,no
yes,snp,no,no,binary,regression,lasso
yes,snp,no,no,binary,regression,ridge
yes,snp,no,no,binary,RF,no
yes,snp,no,no,binary,RF,lasso
yes,snp,no,no,binary,RF,ridge
yes,snp,no,no,binary,NN,no
yes,snp,no,no,binary,NN,lasso
yes,snp,no,no,binary,NN,ridge
yes,snp,no,no,numerical,regression,no
yes,snp,no,no,numerical,regression,lasso
yes,snp,no,no,numerical,regression,ridge
yes,snp,no,no,numerical,RF,no
yes,snp,no,no,numerical,RF,lasso
yes,snp,no,no,numerical,RF,ridge
yes,snp,no,no,numerical,NN,no
yes,snp,no,no,numerical,NN,lasso
yes,snp,no,no,numerical,NN,ridge
yes,snp,no,pca,binary,regression,no
yes,snp,no,pca,binary,regression,lasso
yes,snp,no,pca,binary,regression,ridge
yes,snp,no,pca,binary,RF,no
yes,snp,no,pca,binary,RF,lasso
yes,snp,no,pca,binary,RF,ridge
yes,snp,no,pca,binary,NN,no
yes,snp,no,pca,binary,NN,lasso
yes,snp,no,pca,binary,NN,ridge
yes,snp,no,pca,numerical,regression,no
yes,snp,no,pca,numerical,regression,lasso
yes,snp,no,pca,numerical,regression,ridge
yes,snp,no,pca,numerical,RF,no
yes,snp,no,pca,numerical,RF,lasso
yes,snp,no,pca,numerical,RF,ridge
yes,snp,no,pca,numerical,NN,no
yes,snp,no,pca,numerical,NN,lasso
yes,snp,no,pca,numerical,NN,ridge
yes,snp,no,tsne,binary,regression,no
yes,snp,no,tsne,binary,regression,lasso
yes,snp,no,tsne,binary,regression,ridge
yes,snp,no,tsne,binary,RF,no
yes,snp,no,tsne,binary,RF,lasso
yes,snp,no,tsne,binary,RF,ridge
yes,snp,no,tsne,binary,NN,no
yes,snp,no,tsne,binary,NN,lasso
yes,snp,no,tsne,binary,NN,ridge
yes,snp,no,tsne,numerical,regression,no
yes,snp,no,tsne,numerical,regression,lasso
yes,snp,no,tsne,numerical,regression,ridge
yes,snp,no,tsne,numerical,RF,no
yes,snp,no,tsne,numerical,RF,lasso
yes,snp,no,tsne,numerical,RF,ridge
yes,snp,no,tsne,numerical,NN,no
yes,snp,no,tsne,numerical,NN,lasso
yes,snp,no,tsne,numerical,NN,ridge
yes,snp,varThreshold,no,binary,regression,no
yes,snp,varThreshold,no,binary,regression,lasso
yes,snp,varThreshold,no,binary,regression,ridge
yes,snp,varThreshold,no,binary,RF,no
yes,snp,varThreshold,no,binary,RF,lasso
yes,snp,varThreshold,no,binary,RF,ridge
yes,snp,varThreshold,no,binary,NN,no
yes,snp,varThreshold,no,binary,NN,lasso
yes,snp,varThreshold,no,binary,NN,ridge
yes,snp,varThreshold,no,numerical,regression,no
yes,snp,varThreshold,no,numerical,regression,lasso
yes,snp,varThreshold,no,numerical,regression,ridge
yes,snp,varThreshold,no,numerical,RF,no
yes,snp,varThreshold,no,numerical,RF,lasso
yes,snp,varThreshold,no,numerical,RF,ridge
yes,snp,varThreshold,no,numerical,NN,no
yes,snp,varThreshold,no,numerical,NN,lasso
yes,snp,varThreshold,no,numerical,NN,ridge
yes,snp,varThreshold,pca,binary,regression,no
yes,snp,varThreshold,pca,binary,regression,lasso
yes,snp,varThreshold,pca,binary,regression,ridge
yes,snp,varThreshold,pca,binary,RF,no
yes,snp,varThreshold,pca,binary,RF,lasso
yes,snp,varThreshold,pca,binary,RF,ridge
yes,snp,varThreshold,pca,binary,NN,no
yes,snp,varThreshold,pca,binary,NN,lasso
yes,snp,varThreshold,pca,binary,NN,ridge
yes,snp,varThreshold,pca,numerical,regression,no
yes,snp,varThreshold,pca,numerical,regression,lasso
yes,snp,varThreshold,pca,numerical,regression,ridge
