impute,inputmatrix,featsel,featext,response,data,models,penalty
no,snp,varThreshold,no,numerical,original,RF,ridge
no,snp,varThreshold,no,numerical,original,NN,no
no,snp,varThreshold,no,numerical,original,NN,lasso
no,snp,varThreshold,no,numerical,original,NN,ridge
no,snp,varThreshold,pca,binary,original,regression,no
no,snp,varThreshold,pca,binary,original,regression,lasso
no,snp,varThreshold,pca,binary,original,regression,ridge
no,snp,varThreshold,pca,binary,original,RF,no
no,snp,varThreshold,pca,binary,original,RF,lasso
no,snp,varThreshold,pca,binary,original,RF,ridge
no,snp,varThreshold,pca,binary,original,NN,no
no,snp,varThreshold,pca,binary,original,NN,lasso
no,snp,varThreshold,pca,binary,original,NN,ridge
no,snp,varThreshold,pca,numerical,original,regression,no
no,snp,varThreshold,pca,numerical,original,regression,lasso
no,snp,varThreshold,pca,numerical,original,regression,ridge
no,snp,varThreshold,pca,numerical,original,RF,no
no,snp,varThreshold,pca,numerical,original,RF,lasso
no,snp,varThreshold,pca,numerical,original,RF,ridge
no,snp,varThreshold,pca,numerical,original,NN,no
no,snp,varThreshold,pca,numerical,original,NN,lasso
no,snp,varThreshold,pca,numerical,original,NN,ridge
no,snp,varThreshold,tsne,binary,original,regression,no
no,snp,varThreshold,tsne,binary,original,regression,lasso
no,snp,varThreshold,tsne,binary,original,regression,ridge
no,snp,varThreshold,tsne,binary,original,RF,no
no,snp,varThreshold,tsne,binary,original,RF,lasso
no,snp,varThreshold,tsne,binary,original,RF,ridge
no,snp,varThreshold,tsne,binary,original,NN,no
no,snp,varThreshold,tsne,binary,original,NN,lasso
no,snp,varThreshold,tsne,binary,original,NN,ridge
no,snp,varThreshold,tsne,numerical,original,regression,no
no,snp,varThreshold,tsne,numerical,original,regression,lasso
no,snp,varThreshold,tsne,numerical,original,regression,ridge
no,snp,varThreshold,tsne,numerical,original,RF,no
no,snp,varThreshold,tsne,numerical,original,RF,lasso
no,snp,varThreshold,tsne,numerical,original,RF,ridge
no,snp,varThreshold,tsne,numerical,original,NN,no
no,snp,varThreshold,tsne,numerical,original,NN,lasso
no,snp,varThreshold,tsne,numerical,original,NN,ridge
