accuracy,balanced_accuracy,precision,recall,f1,file,encode,model
0.6111111111111112,0.6160714285714286,0.3125,0.625,0.4166666666666667,i_n_v_p.npy,False,logistic
0.5833333333333334,0.5982142857142857,0.29411764705882354,0.625,0.4,i_c_x_t.npy,False,logistic
0.6388888888888888,0.7232142857142857,0.3684210526315789,0.875,0.5185185185185185,o_c_v_p.npy,False,logistic
0.7777777777777778,0.6785714285714286,0.5,0.5,0.5,i_c_-_-.npy,False,logistic
0.6388888888888888,0.7232142857142857,0.3684210526315789,0.875,0.5185185185185185,o_c_x_p.npy,False,logistic
0.6388888888888888,0.6785714285714286,0.35294117647058826,0.75,0.48,i_n_x_s.npy,False,logistic
0.7777777777777778,0.6339285714285714,0.5,0.375,0.42857142857142855,i_n_x_-.npy,False,logistic
0.5833333333333334,0.6428571428571428,0.3157894736842105,0.75,0.44444444444444436,i_c_v_p.npy,False,logistic
0.8888888888888888,0.8392857142857143,0.75,0.75,0.75,o_n_x_-.npy,False,logistic
0.4444444444444444,0.4642857142857143,0.2,0.5,0.28571428571428575,i_n_-_t.npy,False,logistic
0.75,0.5714285714285714,0.4,0.25,0.3076923076923077,i_n_v_-.npy,False,logistic
0.7222222222222222,0.7321428571428572,0.42857142857142855,0.75,0.5454545454545454,o_n_-_t.npy,False,logistic
0.5277777777777778,0.3392857142857143,0.0,0.0,0.0,o_c_v_t.npy,False,logistic
0.7222222222222222,0.5535714285714286,0.3333333333333333,0.25,0.28571428571428575,i_c_x_-.npy,False,logistic
0.6388888888888888,0.5892857142857143,0.3076923076923077,0.5,0.380952380952381,i_c_x_s.npy,False,logistic
0.6111111111111112,0.5267857142857143,0.25,0.375,0.3,i_c_v_t.npy,False,logistic
0.75,0.75,0.46153846153846156,0.75,0.5714285714285714,o_c_-_s.npy,False,logistic
0.75,0.7053571428571428,0.45454545454545453,0.625,0.5263157894736842,o_c_-_-.npy,False,logistic
0.6944444444444444,0.49107142857142855,0.2,0.125,0.15384615384615385,i_n_-_-.npy,False,logistic
